safe-conduct	เอกสารอนุญาตให้ผ่านได้โดยเฉพาะช่วงสงคราม
backstreet	ถนนที่อยู่ห่างจากถนนใหญ่ (โดยเฉพาะถนนย่านคนจน)
opt-out	การเลือกไม่ทำบางสิ่ง
production	ผลิตผล
able to take just so much	มีความอดทนจำกัด
debut	หญิงสาวที่ออกงานสังคมครั้งแรก (เช่น ออกงานลีลาศหรือราตรีสโมสรประจำปี)
scheme for	วางแผนลวงเพื่อ
cubicle	คอกทำงาน
brokenly	(คำพูด) ที่สั้นมากหรือเว้นช่วงหยุดพูดบ่อยมาก
oasis	สถานที่หรือเวลาเป็นสุข
nickname	ชื่อเล่น
press upon	เร่งเร้าให้รับ
attain	บรรลุเป้าหมาย
pinion2	ฟันเฟืองเล็ก
sensation	ความตื่นเต้น
weak	ซึ่งไม่อาจโน้มน้าวได้
middle	จุดกึ่งกลาง
curvy	ที่มีลักษณะโค้ง
depilatory	สิ่งที่ใช้กำจัดขนบนร่างกาย
put in1	ส่งผู้เล่นเข้าสู่สนาม (กีฬา)
polish of	ฆ่า
ideal	อุดมคติ
hydrophobia	โรคพิษสุนัขบ้า
squib	จุดประทัด
inquire within	สอบถามข้างใน
work up into	ทำให้ตื่นเต้น
pedicel	ก้านดอกไม้
galoshes	รองเท้ายางกันน้ำ
oxyacetylene	สารผสมระหว่างอ็อกซิเจนและอะเซทิลีน
plaguy	อย่างรบกวน
unite with	นำมารวมกับ
maisonette	บ้านหลังเล็ก
wrick	ทำให้เคล็ดขัดยอก
right under someone's nose	อยู่ตรงหน้าเลย
in the short run	ในอนาคตอันใกล้
sitter	ผู้เลี้ยงเด็ก
kip down	นอน (คำไม่เป็นทางการ)
tribal	เกี่ยวกับชนเผ่า
marginalise	ทำให้ไม่มีความสำคัญ
set at	วางต่อกับ
seventh-day	เกี่ยวกับวันที่เจ็ดของสัปดาห์
plan for	วางแผนเพื่อ
fontal	ที่เกี่ยวกับอ่างน้ำมนต์ในโบสถ์
ignition point	อุณหภูมิขณะที่มีการลุกไหม้
conscience	ความรู้สึกผิดชอบชั่วดี
shrewdness	ความมุ่งร้าย
boody	ก้น
simple fraction	อัตราส่วนสองจำนวน
interlocution	การสนทนา
pyretic	ซึ่งทำให้เป็นไข้ได้
sleep out	นอนข้างนอก
lexical	เกี่ยวกับคำหรือศัพท์
painless	ซึ่งไม่เจ็บปวด
horrify	ทำให้หวาดกลัว
disfiguration	การทำให้เสียโฉม
gunmetal	โลหะผสมของทองแดงผสมดีบุกหรือสังกะสี
broaden	ขยับขยาย
peen	หัวค้อน
greeting	คำอวยพร
melodiousness	ความไพเราะ
pagan	เกี่ยวกับคนนอกศาสนา
pad3	ที่พัก
speed	ใช้ยากระตุ้นประสาท (คำสแลง)
magniloquence	การอวดอ้าง
hard goods	ครุภัณฑ์
rich	เข้มข้น (รสชาติ, สี)
hectare	หน่วยวัดของพื้นที่ (1 เฮกตาร์เท่ากับ 100 เอเคอร์ หรือ 10000 ตารางเมตร)
roll round	เวลาหรือเหตุการณ์เกิดขึ้นเป็นประจำ
pouched	ซึ่งมีถุงหน้าท้อง
primary	รูปแบบดั้งเดิม
excrescence	สิ่งที่งอกออกมาอย่างผิดปกติ (จากคน, สัตว์, พืช)
count down	นับเวลาถอยหลัง
L	เส้นแวง (คำย่อของ longitude)
symbolic	เป็นเครื่องหมาย
dash away	รีบไป
mong	คนปัญญาอ่อน
point of view	ความเห็น
departed	ตาย (คำสุภาพ)
swear by	วางใจใน
found upon	ตั้งอยู่บนหลักการของ
nattily	อย่างประณีตและทันสมัย
sheer off	หลบหลีก
bluntly	ขวานผ่าซาก
typewriter	เครื่องพิมพ์ดีด
apodeictic	ไม่เป็นที่สงสัย
construe with	ใช้คำร่วมกับ (คำอื่น)
gold dust	ผงทอง
embody	รวบรวบเข้าด้วยกัน
make a go of	พยายามทำให้สำเร็จ
efficiency	ความมีประสิทธิภาพ
vaulting	การทำเป็นหลังคาโค้ง
colossal	มหึมา
incandescent	ที่ส่องแสง
meshugah	บ้า
wanger	อวัยวะเพศชาย
waistline	ส่วนเอวของชุดกระโปรง
semicircular	ซึ่งเป็นครึ่งวงกลม
sophisticated	ซึ่งมีประสบการณ์มาก
colloquy	การสนทนา (ที่ค่อนข้างเป็นทางการ)
ropey	ป่วย
outright	โดยสมบูรณ์
wolves	คำนามพหูพจน์ของ wolf
with it	ทันสมัย
primeval	ที่เกิดขึ้นโดยสัญชาติญาณ
retire into	เงียบและไม่พูดคุยกับคนอื่น
ornament	ประดับ
reassess	คิดทบทวนใหม่
platform	นโยบายพรรคที่แถลงก่อนการเลือกตั้ง
implant into	ปลูกฝัง
tremor	เสียงสั่น
zipless	ที่ไม่มีซิป
cavort	กระโดดโลดเต้น
din in2	ส่งเสียงอึกทึก (มักใช้รูป continuous tense)
outwent	กริยาช่องที่ 2 ของ outgo
move over	เลื่อนไป
tideland	บริเวณน้ำท่วมเมื่อกระแสน้ำขึ้น
truthful	ซื่อสัตย์
seism	แผ่นดินไหว
flop about	เคลื่อนที่ไปพร้อมกับเสียงดัง
Swede	คนสวีเดน
caretaker government	รัฐบาลชั่วคราวที่ตั้งขึ้นเพื่อรอการเลือกตั้งครั้งใหม่
flick	หนัง
gild	เคลือบทอง
insignia	เครื่องยศ
outmanoeuver	ได้เปรียบ (ด้วยเล่ห์เหลี่ยม)
wounding	ซึ่งบาดเจ็บ
slow	อย่างช้า
shaky	สั่น
vagarious	ซึ่งผิดปกติ
bring up to standard	ทำให้ได้มาตรฐาน
just the same	แต่กระนั้น
thereinto	โดยเข้าไปในสถานการณ์นั้น
meal1	อาหาร
resection	การชำแหละ
be in line with	เป็นไปตาม (ความคิด, หลักการ, กฎเกณฑ์)
ilium	กระดูกเชิงกราน
center	อยู่ตรงกลาง
surprisingly	อย่างแปลกใจ
remiss	สะเพร่า
pay someone a left-handed compliment	หลอกด่า
central nervous system	ส่วนหนึ่งของระบบประสาทในร่างกายที่ประกอบด้วยสมองและเส้นประสาทรวมที่กระดูกสันหลัง
lie low	หนีรอดจากตำรวจ
robotic	เกี่ยวกับหุ่นยนต์
infuriated	กราดเกรี้ยว
misprision	การบกพร่องต่อหน้าที่
gain	จำนวนที่เพิ่มขึ้น
coated	ที่ปกคลุม
veer to	หันไปทาง
halt1	หยุด
woodman	คนที่อาศัยอยู่ในป่า
center on	รวมอยู่ที่
redundancy	ความซ้ำซ้อน
precipitate into	เร่ง
Rugby	โรงเรียนชายล้วนที่มีชื่อเสียงในอังกฤษก่อตั้งปีค.ศ.1576
result from	เป็นผลจาก
had it away on his toes	หนีอย่างรวดเร็ว
egg-beater	เฮลิคอบเตอร์
occidental	เกี่ยวกับชาวตะวันตก
seventies	ตัวเลขหรือปีหรือองศาตั้งแต่ 70 -79
drill in	พูดตอกย้ำ
recountal	การนับใหม่
calculation	การคำนวณ
cut loose	ทำตัวป่าเถื่อน
sanitary napkin	ผ้าอนามัย
luminiferous	เปล่งแสง
latent period	ระยะซ่อนเร้น
hermit crab	ปูเสฉวน
perspicacious	สายตาแหลม
workhorse	ม้าที่ใช้ในการทำงาน (มากกว่าจะใช้สำหรับขี่)
takeout	อาหารไปกินนอกบ้าน
gas pipe	ท่อแก๊ซ
frenchy	การจูบแบบใช้ลิ้น
rod	ปืนเล็ก
push round	รุกเร้า
inculpable	ซึ่งไม่มีความผิด (คำทางการ)
book up	จอง
chandelier	โคมไฟระย้า
solely	โดยลำพัง
set down for	กำหนดสำหรับ
sci-fi	นวนิยายวิทยาศาสตร์ (คำไม่เป็นทางการของ science fiction)
resister	ผู้ทนต่อบางสิ่ง
hard nut to crack	คนหรือสิ่งที่ยากจะจัดการ (คำไม่เป็นทางการ)
weakishness	ความไม่ค่อยเข้มข้น
wrestling	การต่อสู้กันอุตลุด
qualification	ข้อจำกัด
advisedly	อย่างพิจารณาแล้ว
sago	แป้งสาคู
mosquitofish	ปลาจำพวก Gambusia affinis
logo	โลโก้ (คำย่อของ logotype)
schnook	คนโง่ (คำสแลงแสดงความดูถูก)
julienne	ซึ่งตัดออกเป็นชิ้นบางๆ
sad	(สี) ทึม
strikeover	ตัวอักษรที่พิมพ์ทับซ้อนกัน
elusive	ยากที่จะหา
telegraphy	เทคนิคการส่งโทรเลข
no place	ไม่มีที่ไหน
in front of	ตรงข้างหน้า
credit card	บัตรเครดิต
spectrum	สเป็กทรั่ม
thereat	เพราะเหตุนั้น
oddments	เศษเล็กๆ น้อยๆ
flick1	กดปุ่มปิดเปิดเครื่องกล
go out	หยุดงานประท้วง
know apart	แยกความแตกต่างระหว่าง
free of charge	โดยไม่คิดค่าใช้จ่าย
shalt	จะ (คำกริยาช่วยแสดงถึงอนาคต มักใช้กับ thou) (คำโบราณ)
wondrous	มหัศจรรย์
ribbed	ซึ่งทำเป็นโครง
grassroots	ระดับสามัญชน
draw out	ถอนเงินจาก
scream bloody murder	ส่งเสียงกรี๊ดดังๆ
rocker arm	คันโยก
differ in	แตกต่างกันในเรื่องหรือด้าน
oil well	บ่อน้ำมัน
pitch forward	ล้มฟาดไปข้างหน้า
extraordinarily	อย่างเป็นพิเศษ
-ward	ทิศทาง
printer's ink	หมึกพิมพ์
unciform	กระดูกรูปตะขอ
stink out	ส่งกลิ่นเหม็นจน (บางอย่าง) ออกมา (คำไม่เป็นทางการ)
sanctimonious	แสร้งทำเป็นศักดิ์สิทธิ์
ARS	ระบบอัดเสียงขั้นสูง
caution about	ตักเตือน
Union of Burma	สหภาพพม่า
proselytize	เปลี่ยนศาสนา
clef	สัญลักษณ์ที่ใช้เริ่มในการเขียนโน้ต เพื่อบอกระดับเสียง (เช่น กุญแจซอล)
boneyard	ป่าช้า
empennage	ส่วนหางของเครื่องบิน
thicken	หนาขึ้น
cathedral	โบสถ์ที่สำคัญ
not be able to see beyond (the end of) one's nose	มองไม่เห็นความเป็นจริง
abs	กล้ามหน้าท้อง
shout at	ตะโกนใส่
serous	คล้ายเซรุ่ม
weirded out	คลุ้มคลั่ง
b	พยัญชนะภาษาอังกฤษตัวที่ 2
medical	การตรวจร่างกาย
organdy	สิ่งทอ
pull oneself together	ควบคุมตนเอง
lawn2	ผ้าฝ้ายหรือผ้าลินินบาง ๆ
have half a mind to do	เกือบตัดสินใจทำบางสิ่ง
tony	ทันสมัย
doodle	เส้นขยุกขยิก
wingover	การบินผาดโผน
paraphrase	ถอดความ
Spaniard	ชาวสเปน
mutual	ซึ่งสัมพันธ์กัน
ane	ตูด
quest for	ควานหาอย่างหนัก
chuff2	ตูด
jump over	กระโดดข้าม
play (the) devil's advocate	ปั่นป่วนให้วุ่นวาย
geological	ทางธรณีวิทยา
go overboard	เสียสติ (คำไม่เป็นทางการ)
alpha ray	ลำรังสีของกลุ่มอนุภาคแอลฟา
rotorhead	นักบิน (ขับเฮลิคอปเตอร์)
be out of step	แตกต่างจาก
quarry2	เหยื่อ
admissible	ซึ่งยอมให้เข้า
hype up	ทำให้ตื่นเต้นหรือกระตือรือร้นเพราะฤทธิ์ยา
windsurfing	กีฬาวินด์เซิร์ฟ
sent	กริยาช่องที่ 2 และ 3 ของ send
crusty	ที่อารมณ์เสียง่าย
daring	ความกล้าหาญ
dominantly	โดยอำนาจครอบครอง
tally with	เข้ากันได้กับ
rationalizer	ผู้ใช้เหตุผลตัดสิน
declare to	ยอมรับว่าเป็นเจ้าของ
split level	เกี่ยวกับการเล่นระดับของอาคารหรือบ้าน
adulation	การยกยอ
lark about	เล่นสนุก (คำไม่เป็นทางการ)
happy	มีความสุข
throw at	จ้องไปทาง
launch into	ปล่อย (เรือ) ลง (น้ำ)
Spanish fly	แมลงวันสเปน
midge	แมลงตัวเล็กชนิดหนึ่งที่กัดคนและสัตว์มีรูปร่างคล้ายยุง
secretarial	เกี่ยวกับเลขานุการหรืองานเลขานุการ
inattention	การปล่อยปละละเลย
harp	พิณ
fire engine	รถดับเพลิง
border	ขอบนอก
resentful	ซึ่งไม่พอใจ
look in2	ถาม
coccus	เชื้อแบคทีเรียซึ่งมีรูปทรงกลม เช่น แบคทีเรียที่ทำให้เกิดโรคหนองใน
lefthand	ที่ไปทางซ้าย
leaflet	ใบอ่อน
unbiased	ซึ่งไม่ลำเอียง
o.n.o	คำย่อของ or near offer หรือ or nearest offer
fancy man	แมงดา
back seat	ที่นั่งด้านหลัง
lubricant	น้ำมันหล่อลื่น
latch on	เข้าสิ่งที่พูด (โดยเฉพาะเรื่องที่ตลก)
freeborn	ซึ่งเกิดมาก็เป็นอิสระ
bronzed	ซึ่งมีผิวสีน้ำตาลเพราะโดนแสงอาทิตย์ (ผิวสีแทน)
uninterruptedly	อย่างไม่ขาดสาย
variety	ความหลากหลาย
traverse	ที่กีดขวาง
shine out	สาดออกมา
good humor	อารมณ์ขัน
liberty	อิสรภาพ
cold comfort	คำปลอบที่ไร้ประโยชน์
maceration	การทำให้เปื่อยยุ่ย
cotton cloth	ผ้าฝ้าย
proceed	พูดต่อหลังจากถูกขัดจังหวะ
jumbo jet	เครื่องบินขนาดใหญ่ที่บรรจุผู้โดยสารได้หลายร้อยคน
shambles	โรงฆ่าสัตว์
pull off	ประสบความสำเร็จ
lend credence to	ทำให้กลายเป็นจริง
baulk at	คัดค้าน
turgid	บวม
unparalleled	ยอดเยี่ยมกว่า
walkout	การเดินออกไปเพื่อแสดงความไม่เห็นด้วย
due to	เนื่องจาก
picture house	โรงภาพยนตร์
intrust with	มอบหมาย
atomic bomb	ระเบิดปรมาณู
beget	ก่อให้เกิด
repulsiveness	ความน่ารังเกียจ
avenge of	แก้แค้นให้กับ
time-honored	เก่าแก่มาก
Jupiter	ดาวพฤหัสบดี
express	อย่างเร่งด่วน (พาหนะขนงส่ง, ไปรษณีย์)
adaptable	ที่ปรับตัวได้
pester out of	รบกวน
apologetic	ที่แสดงถึงการขออภัย
rift	ความแตกร้าว
tank	ทำให้เลิกพยายามที่จะเอาชนะการแข่งขันกีฬา (คำไม่เป็นทางการ)
desalinize	แยกเกลือออก
competition	การแข่งขัน
scrape away	ขูดออก
prance	การเคลื่อนไหวอย่างมีชีวิตชีวา
schmalz	ความซาบซึ้งอย่างมากมาย (คำไม่เป็นทางการ)
quirt	เฆี่ยนด้วยแส้
muncher	ผู้เคี้ยวมีเสียง
profligacy	ความฟุ่มเฟือย
ogive	โค้งหลังคา
ream	คั้นน้ำผลไม้
edema	อาการบวมน้ำ
binomial	การแสดงค่าผลบวกหรือผลต่างของสองจำนวน
scarer	ผู้ทำให้ตกใจ
gear down	ลดระดับไปยัง
skinny	ข้อมูลที่เชื่อถือได้ (คำสแลง)
silkscreen	วิธีการพิมพ์ภาพด้วยหมึก
lie detector	เครื่องจับการพูดเท็จ
boatswain	เจ้าหน้าที่บนเรือคอยบำรุงรักษาเรือหรือเครื่องใช้ในเรือ
stowage	ค่าบรรจุ
grind into	ยัดเยียด
philtre	ยาเสน่ห์
louse	แมลงเล็กๆ ที่อยู่บนคนและสัตว์
havoc	ความหายนะ
emaciate	ทำให้ซูบผอม
by all appearances	อย่างเห็นได้ชัด
keep someone at arm's length	ไม่อนุญาตให้เข้าใกล้
centre	อยู่ตรงกลาง
fix over	ซ่อมแซม
proverbial	เป็นที่เลื่องลือ
inflict	สร้างความเจ็บปวด
lumpish	อืดอาด
ethnic group	กลุ่มชาติพันธุ์
rouse from	ปลุกให้ตื่น
strife	ความบากบั่น (คำโบราณ)
no great shakes	ไม่มีค่า
boating	การพายหรือแล่นเรือเล่น
separate	เสื้อผ้าสตรีที่ไม่เป็นชุดเดียวกัน
liaison	ผู้ประสานงาน
vug	โพรงเล็กๆ ในหิน
imparity	การขาดความเสมอภาค
drop	หยดน้ำ
look about	มองไปรอบๆ
fourteenth	ลำดับที่ 14
spaced-out	เมา
Believe you me!	คุณควรจะเชื่อ
climax	มาถึงจุดสำคัญสูงสุดของเหตุการณ์
ye	หมายถึง you
echo	เสียงสะท้อน
burdensome	ที่เป็นภาระ
negation	คำลบล้าง
puce	สีม่วงอมน้ำตาล
sailfish	ปลาทะเลจำพวก istiophorus มีครีบหางที่ใหญ่มากคล้ายใบเรือ
stipulate for	ระบุเงื่อนไข
mop	ทำความสะอาดด้วยไม้ถูพื้น
obsolescent	ที่ล้าสมัย
appertain	เป็นของ
aerie	รังของนกขนาดใหญ่
lucky	นำโชค
bring someone to his feet	ทำให้ลุกขึ้นยืน
rain gauge	เครื่องวัดปริมาณน้ำฝน
unsay	ถอนคำพูด
natal	เกี่ยวกับการเกิด
interval	หยุดพักเป็นช่วงๆ
muffle	ห่อหุ้มหรือปกปิดอย่างหนาแน่น
procuration	การจัดหามา
delimitation	การจำกัดจำนวน
beat one's brains out	คิดหนัก
bishopric	ตำแหน่งของ bishop
take fright	ตกใจ
pish	คำอุทานแสดงความรังเกียจหรือความอึดอัดใจ
horror-stricken	ซึ่งตกตะลึง
refuge	ที่หลบภัย
take turns	สลับกัน
fly open	เปิดออกทันที
non-white	ซึ่งไม่ใช่พวกผิวขาว
insupportable	ซึ่งไม่สามารถจะทนได้
pin back one's ears	ฟังอย่างพิจารณา
remorseless	ซึ่งไม่สำนึกผิด
last out	ยังใช้การได้
unit cell	หน่วยที่เล็กที่สุด
lanceolate	ที่มีลักษณะเรียวแหลมคล้ายหลาว
poser1	ผู้วางท่า
gaudy	ฉูดฉาด (แต่ไร้รสนิยม)
stableman	ชายเลี้ยงม้า
mesmerism	การสะกดจิต
roar at	ตะโกนใส่
pen and ink	กลิ่นเหม็น
in the end	ในที่สุด
proliferate	เพิ่มจำนวนอย่างรวดเร็ว
granddaughter	หลานสาว
steal	ขโมย
rummage sale	การขายของหลากหลายทั้งใช้แล้วและของใหม่เพื่อการกุศล
overstock	ซื้อเก็บไว้มากเกินไป
hurry forward	รีบไป
tonsil paint	เหล้าวิสกี้
weather-bound	้ล่าช้าเพราะสภาพอากาศเลวร้าย
caries	การผุกร่อนของกระดูกโดยเฉพาะฟัน
pirouette	การหมุนตัวบนเท้าเดียวหรือปลายเท้า
slip past2	ไม่สังเกตเห็น
Annam	ประเทศเวียดนาม
okey-dokey	เห็นด้วย
What the heck!	ไม่เป็นไร
octo-	แปด
distrustfully	อย่างไม่น่าไว้ใจ
order up	สั่ง (ทหารหรือยานพาหนะ) ให้ไปอยู่แนวหน้าในการรบ
laugh at	หัวเราะเยาะ
fishy	น่าสงสัย
bent1	รักร่วมเพศ
water vole	สัตว์คล้ายหนูอาศัยอยู่ในรูข้างแม่น้ำหรือทะเลสาป
clang	เสียงดังแคร๊งที่กังวานนาน (เช่นเสียงโลหะกระทบกัน)
interrogate	ซักถาม
moonshiner	ผู้ต้มเหล้าเถื่อน
skepsis	ความสงสัย
German silver	โลหะผสมระหว่างทองแดง สังกะสี และนิเกิล
detune	ทำให้เสียความพอดี
northermost	ทางเหนือสุด
pigmentation	การย้อมสี
teleology	การศึกษาสาเหตุ
parasitic	เกี่ยวกับปรสิต
adj.	คำคุณศัพท์ (คำย่อของ adjective)
crystal-clear	ใสสะอาด
opalesce	เป็นสีน้ำนม
bi	ที่มีความชอบทั้งสองเพศ
peter out	ค่อยๆหมดไป
cardiopulmonary resuscitation	การช่วยชีวิตด้วยการเป่าลมหายใจเข้าทางปาก
dissonant	ที่ไม่กลมกลืนกัน
abominable	เลวทรามต่ำช้า
flame with	หน้าแดงด้วย (ความโกรธจัด)
obese	อ้วนเกินไป
good evening	คำทักทาย / คำบอกลาตอนเย็น
vendace	ปลาสีขาวเล็กแถบตะวันตกเฉียงเหนือของยุโรปและรัสเซีย
eggy	รำคาญ
curate2	ทำหน้าที่ดูแลพิพิธภัณฑ์
relieve of	ขโมย
scrambler	เครื่องส่งสัญญาณรบกวนคลื่นวิทยุหรือโทรศัพท์
righty-ho	คำอุทาน (คำเก่า)
hangdog	น่าละอาย
ennoble	มอบเกียรติยศ
pseudologist	คนหลอกลวง
Siam	ชื่อเดิมของประเทศไทย
blood bank	ธนาคารเลือด
feel about2	คลำหา
keep in with	คุ้นเคยกับ
compress into	แสดง (ความคิดเห็นหรือความคิด) ด้วยการใช้คำพูดน้อย
berk	อวัยวะเพศหญิง
bloody	เต็มไปด้วยเลือด
come to an end	สิ้นสุด
shirtwaist	เสื้อเชิ้ตแบบสตรี
close to home	ใกล้ตัว
omnipresent	ซึ่งพบเห็นในทุกที่
no soup	ไม่
secluded	เป็นส่วนตัว
occur to	ผุดขึ้นในใจของ
yield up	ยอมให้ (บางสิ่ง) กับ
water buffalo	ควายชนิดหนึ่ง ชื่อละตินคือ Bubalus bubalis
earn	ได้รับรายได้
chairwoman	ประธานที่เป็นผู้หญิง
from the bottom of one's heart	จากใจจริง
Magna Charta	กฎหมาย
shift from	ย้ายจาก (สถานที่)
ungrudging	เต็มอกเต็มใจ
everywhere	ทุกหนแห่ง
pretty	พอใช้ได้
in lieu of	แทนที่
fraudulent	ซึ่งฉ้อโกง
snip	ตัดหรือเล็มด้วยกรรไกร
fearful	น่าเกรงกลัว
scraggy	ผอมจนเห็นกระดูก
safeguard	ปกป้อง
with all one's heart and soul	อย่างจริงใจมาก
barnstorming	ซึ่งเปิดการแสดงไปตามที่ต่างๆ
direct	สั่งสอน (คำทางการ)
lose faith in	ไม่ไว้วางใจใน
jodhpurs	กางเกงขี่ม้าที่รัดแน่นจากหัวเข่าถึงข้อเท้า
vanquishable	ซึ่งปราบปราม
festival	ซึ่งเฉลิมฉลอง
impinge upon	กระทบกระแทก
pycno-	หนา
viticulture	การศึกษาเกี่ยวกับการปลูกองุ่น
poohead	คนน่ารังเกียจ
slogan	คำโฆษณา
come back	หวนกลับมาสู่ (ความทรงจำ, ความนิยม, ตำแหน่ง)
caseous	ที่เหมือนชีส
surd	เป็นพยัญชนะที่ไม่มีเสียง
divertingly	อย่างเพลิดเพลิน
thenceforth	นับแต่นั้นเป็นต้นมา
leakproof	ที่ไม่รั่ว
copulation	การมีเพศสัมพันธ์
matter-of-factness	การเป็นข้อเท็จจริง
gangrene	กลายเป็นเนื้อร้าย
machinery	โครงสร้าง
whipstitch	ทำตะเข็บเย็บหุ้ม
knish	ขนมยัดไส้ชนิดหนึ่ง
sightsee	เที่ยวชม
drink under	แข่งกันดื่มเหล้า
shortly	อย่างหยาบๆ
phony	ของปลอม
faction	ปัญหาหรือความขัดแย้งภายในกลุ่ม
Zift	คำย่อของ zygote intra-fallopian transfer
will power	กำลังใจ
whensoever	เมื่อไรก็ตาม
frame up	ใส่ความ (คำไม่เป็นทางการ)
necromancy	การใช้เวทมนตร์
promptly	อย่างทันท่วงที
twig2	เห็น
kindling	ฟืน
Jesus Christ	พระเยซู
muff	ทำผิดพลาด
pinch-hit	การเข้าตีลูกแทน (กีฬาเบสบอล)
skivvy	คนรับใช้
tragic	น่าสลดใจ
eyeshade	ที่บังตา (ที่สวมไว้บนศีรษะ)
reunion	การชุมนุมกัน
near miss	สถานการณ์หวุดหวิด
keep on	ทำเรื่อยไป
remission	การผ่อนคลาย
knightly	เกี่ยวกับหรือเป็นของอัศวิน
unfasten	ปลด
hinge on	ขึ้นอยู่กับ
divert to	เปลี่ยนไปยัง
sluice down	ล้างน้ำจำนวนมาก
vibrator	เครื่องสั่น
nonprofit	ซึ่งไม่มีผลกำไร
lightning beetle	หิ่งห้อย
engorge with	ทำให้บวม
substantiative	ซึ่งมีหลักฐานยืนยัน
stultify	แถลงต่อศาลว่ามีสติไม่สมประกอบ (กฎหมาย)
head boy	ตัวแทนโรงเรียน
rummage	สิ่งของสัพเพเหระที่ใช้แล้ว
endure	อดทน
beach	ลากมาเกยหาด
clandestine	ที่เก็บไว้เป็นความลับ
quick-freeze	ทำให้เป็นจุดเยือกแข็งเร็ว
kick away	เตะทิ้งไป
legibility	ลักษณะที่อ่านออกง่าย
spoke2	กริยาช่อง 2 ของ speak
gross	รายได้รวม
noxious	ซึ่งเป็นอันตราย
sell someone / something short	ประเมินค่าต่ำ
pretending	การเสแสร้ง
flatulent	ขี้โอ่
make mention of	เอ่ยถึง
fluoresce	เรืองแสง
eagle-eyed	ซึ่งมีสายตาที่คมกริบ
loaf away	เสียเวลาไปโดยเปล่าประโยชน์
spread on1	ทน
checker1	ใส่เครื่องหมายตารางหมากรุก
dwell upon	พูดหรือเขียนยืดยาวเกี่ยวกับ
world is one's oyster	คนครองโลก
refer to	จัดอยู่ในกลุ่ม
subsist	รอดชีวิต
white tie	โบว์สีขาวที่ผู้ชายผูกเมื่อแต่งชุดราตรี
premier	นายกรัฐมนตรี
giggly	ซึ่งส่งเสียงหัวเราะคิกคัก
numbered	ซึ่งมีจำนวนจำกัด
felon	อาชญากร
unconcern	ความไม่สนใจ
size	จัดกลุ่มตามขนาด
compost	การผสมผสาน
hover	บินร่อน
tie down	จำกัดเสรีภาพของ
beam to	กระจายเสียงไปยัง (วิทยุหรือโทรทัศน์)
markedness	ความชัดเจน
tang2	ทำให้เกิดเสียงของโลหะกระทบกัน
beat-up	เก่าและพัง
suburban	นอกเมือง
wherethrough	เนื่องจาก
European Economic Community	ประชาคมเศรษฐกิจยุโรป
muscular	เกี่ยวกับกล้ามเนื้อ
noisome	น่ารังเกียจ
goodbye	คำกล่าวอำลา
yard	สนาม
have what it takes	มีสิ่ง (จำเป็น) ในการทำบางสิ่ง
bless	อวยพร
place at	เดา (จำนวน)
niggerbrown	สีน้ำตาลเข้ม
all talk	ดีแต่พูด
rare-earth element	ธาตุหายาก
propretor	ผู้ว่าราชการจังหวัด
sarband	การเต้นระบำชั้นสูงในศตวรรษที่ 17 -18
old	ที่มีประสบการณ์
hurriedly	อย่างรีบร้อน
smother with	ทำให้ปกคลุมด้วย
worshipfulness	การแสดงความแสดงความเคารพบูชา
use as	ใช้เพื่อเป็น
justly	อย่างสอดคล้องกับความจริง
gold mine	แหล่งทำเงิน
irreparable	ที่แก้ไขไม่ได้
castigate	วิพากษ์วิจารณ์อย่างรุนแรง
reify	ทำให้เป็นรูปธรรม
just so	เป็นระเบียบ
riparian	ซึ่งติดชายฝั่ง
global warming	ความร้อนขึ้นของบรรยากาศโลก
Myrmidon	กษัตริย์ในเทพนิยายกรีก
prognostic	ที่คาดคะเน
thrippence	เหรียญ 3 เพนนี
run at	อยู่ที่อัตรา
litter about	ทำให้กระจัดกระจาย
overstep	เกินขอบเขต
pyre	กองฟืน
single-minded	มุ่งมั่น
subconscious	จิตใต้สำนึก
ungreen	เป็นอันตรายต่อสิ่งแวดล้อม
subjoin	วางข้างท้าย
puppy	เด็กหนุ่มอ่อนหัด
despotic	เกี่ยวกับผู้กดขี่
shiatzu	การนวดด้วยมือ
make approaches to	ขอความร่วมมือ
mourner	คนเศร้าโศก
vanquisher	ผู้ปราบปราม
womenfolk	ผู้หญิงทั่วไป (คำโบราณ)
take another person at his word	ยอมรับว่าสิ่งที่ (ผู้อื่น) พูดเป็นความจริง
Peking	กรุงปักกิ่ง (ชื่อเดิมของ Beijing)
pile on	ให้เกียรติ
inapposite	ซึ่งอยู่นอกประเด็น (คำทางการ)
adagio	อย่างช้า ๆ
reflation	การเพิ่มอัตราการหมุนเวียนเงินในประเทศ
foolhardy	บ้าระห่ำ
forego	นำมาก่อน (คำทางการ)
surrender	การส่งมอบตัว
sharpshooter	นักแม่นปืน
district	เขต
savanna	ทุ่งหญ้าสะวันนา
talcum	แป้งโรยตัวและทาหน้า
wakefulness	การตื่นตัว
idealist	ผู้ยึดมั่นอุดมการณ์
neither hide nor hair	ไม่มีวี่แวว (ของบางคนหรือบางสิ่ง)
schemer	ผู้วางแผนการ
browse on	(สัตว์) กิน (บางสิ่ง) เป็นอาหาร
structuralization	การประกอบโครงสร้าง
run down1	เหน็ดเหนื่อย
Jamaica	ประเทศจาไมก้า
wipe with	ถูออกด้วย
will not hear of something	ไม่ยอมรับ
shove down	ผลักหรือดันลง
inland sea	ทะเลภายใน
